"","ID","n","leaf_area"
"259","ALZ0919",14,8.15
"260","AMA2911",7,8.32
"261","AMB0961",17,8.31
"262","AMC5015",17,8.27
"263","AMD1977",12,8.08
"264","AME2572",20,8.42
"265","AMF8499",17,8.25
"266","AMG6203",15,8.07
"267","AMH1052",18,8.51
"268","AMI0530",18,8.15
"269","AMJ6008",12,7.49
"270","AMK6767",16,8.03
"271","AML9094",15,8.21
"272","AMM7954",15,8.44
"273","AMN5186",14,8.15
"274","AMO7965",17,8.12
"275","AMP6104",19,7.84
"276","AMQ3305",10,8.05
"277","AMR2415",19,7.91
"278","AMS0757",17,8.28
"279","AMT8137",14,8.25
"280","AMU9701",13,8.11
"281","AMV5254",11,8.21
"282","AMW7024",16,8.03
"283","AMX0988",14,8.07
"284","AMY0728",18,7.99
"285","AMZ6959",20,7.89
"286","ANA3855",16,8.02
"287","ANB3937",17,8.11
"288","ANC4732",14,8.08
"289","AND3521",17,8.12
"290","ANE4527",14,8.19
"291","ANF4169",18,8.38
"292","ANG9914",18,8.1
"293","ANH0178",15,7.97
"294","ANI4441",14,8.06
"295","ANJ0271",15,8.38
"296","ANK7018",15,8.06
"297","ANL8059",11,8.15
"298","ANM5224",14,8.12
"299","ANN9182",18,8.11
"300","ANO4375",15,8.21
"301","ANP3602",13,8.46
"302","ANQ4032",18,8.19
"303","ANR5076",15,8.4
"304","ANS0610",19,7.95
"305","ANT3490",19,8.4
"306","ANU2647",17,8.21
"307","ANV0357",17,8.13
"308","ANW2146",18,8.23
"309","ANX0417",14,8.27
"310","ANY3979",14,8.26
"311","ANZ7855",12,8.46
"312","AOA5929",12,8.31
